,Title,Year,Authors,Journal,Journal Acronym,Rank
10,Dynamic Offloading for Edge Computing-Assisted Metaverse Systems.,2023,"Tien-Hoa Nguyen, Le Van Huy, Bui Duc Son, Nguyen Cong Luong, Dusit Niyato",IEEE Commun. Lett. 27: 1749-1753 ,ICL,
11,Secretive Coded Caching With Nonuniform Demands in Fog Radio Access Networks.,2023,"Qianli Tan, Yanxiang Jiang, Lingling Zhang, Ying Cui, Dusit Niyato, Fu-Chun Zheng, Xiaohu You",IEEE Commun. Lett. 27: 2252-2256 ,ICL,
12,Federated Semantic Learning Driven by Information Bottleneck for Task-Oriented Communications.,2023,"Hao Wei, Wanli Ni, Wenjun Xu, Fengyu Wang, Dusit Niyato, Ping Zhang",IEEE Commun. Lett. 27: 2652-2656 ,ICL,
13,Joint Beamforming Design for Multi-Functional RIS-Aided Uplink Communications.,2023,"Yingjie Yan, Ying Wang, Wanli Ni, Dusit Niyato",IEEE Commun. Lett. 27: 2697-2701 ,ICL,
14,A Dynamic Hierarchical Framework for IoT-Assisted Digital Twin Synchronization in the Metaverse.,2023,"Yue Han, Dusit Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, Xuemin Shen, Chunyan Miao",IEEE Internet Things J. 10: 268-284 ,IOTJ,
15,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu",IEEE Internet Things J. 10: 973 ,IOTJ,
16,Stochastic Coded Offloading Scheme for Unmanned-Aerial-Vehicle-Assisted Edge Computing.,2023,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",IEEE Internet Things J. 10: 5626-5643 ,IOTJ,
17,Robust Semisupervised Federated Learning for Images Automatic Recognition in Internet of Drones.,2023,"Zhe Zhang, Shiyao Ma, Zhaohui Yang, Zehui Xiong, Jiawen Kang, Yi Wu, Kejia Zhang, Dusit Niyato",IEEE Internet Things J. 10: 5733-5746 ,IOTJ,
18,From Eye to Brain: A Proactive and Distributed Crowdsensing Framework for Federated Learning.,2023,"Hongjia Wu, Hui Zeng, Tongqing Zhou, Zhiping Cai, Zehui Xiong, Dusit Niyato, Zhu Han",IEEE Internet Things J. 10: 8202-8214 ,IOTJ,
19,Understanding Security in Smart City Domains From the ANT-Centric Perspective.,2023,"Jiani Fan, Wenzhuo Yang, Ziyao Liu, Jiawen Kang, Dusit Niyato, Kwok-Yan Lam, Hongyang Du",IEEE Internet Things J. 10: 11199-11223 ,IOTJ,
20,Blockchains for Artificial Intelligence of Things: A Comprehensive Survey.,2023,"Meng Shen, Aijing Gu, Jiawen Kang, Xiangyun Tang, Xiaodong Lin, Liehuang Zhu, Dusit Niyato",IEEE Internet Things J. 10: 14483-14506 ,IOTJ,
21,Personalized Saliency in Task-Oriented Semantic Communications: Image Transmission and Performance Analysis.,2023,"Jiawen Kang, Hongyang Du, Zonghang Li, Zehui Xiong, Shiyao Ma, Dusit Niyato, Yuan Li",IEEE J. Sel. Areas Commun. 41: 186-201 ,JSAC,
22,Imitation Learning-Based Implicit Semantic-Aware Communication Networks: Multi-Layer Representation and Collaborative Reasoning.,2023,"Yong Xiao, Zijian Sun, Guangming Shi, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 639-658 ,JSAC,
23,Guest Editorial Rate Splitting for Future Wireless Networks.,2023,"Bruno Clerckx, Yijie Mao, Eduard A. Jorswieck, Jinhong Yuan, David J. Love, Elza Erkip, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 1259-1264 ,JSAC,
24,"A Primer on Rate-Splitting Multiple Access: Tutorial, Myths, and Frequently Asked Questions.",2023,"Bruno Clerckx, Yijie Mao, Eduard A. Jorswieck, Jinhong Yuan, David J. Love, Elza Erkip, Dusit Niyato",IEEE J. Sel. Areas Commun. 41: 1265-1308 ,JSAC,
25,Task-Oriented Delay-Aware Multi-Tier Computing in Cell-Free Massive MIMO Systems.,2023,"Kunlun Wang, Dusit Niyato, Wen Chen, Arumugam Nallanathan",IEEE J. Sel. Areas Commun. 41: 2000-2012 ,JSAC,
26,Attention-Aware Resource Allocation and QoE Analysis for Metaverse xURLLC Services.,2023,"Hongyang Du, Jiazhen Liu, Dusit Niyato, Jiawen Kang, Zehui Xiong, Junshan Zhang, Dong In Kim",IEEE J. Sel. Areas Commun. 41: 2158-2175 ,JSAC,
27,Semantic Communications for Wireless Sensing: RIS-Aided Encoding and Self-Supervised Decoding.,2023,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Junshan Zhang, Xuemin Shen",IEEE J. Sel. Areas Commun. 41: 2547-2562 ,JSAC,
28,AI-Generated Incentive Mechanism and Full-Duplex Semantic Communications for Information Sharing.,2023,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Dong In Kim",IEEE J. Sel. Areas Commun. 41: 2981-2997 ,JSAC,
29,Privacy-Preserving Intelligent Resource Allocation for Federated Edge Learning in Quantum Internet.,2023,"Minrui Xu, Dusit Niyato, Zhaohui Yang, Zehui Xiong, Jiawen Kang, Dong In Kim, Xuemin Shen",IEEE J. Sel. Top. Signal Process. 17: 142-157 ,JSTSP,
30,Securing Federated Learning: A Covert Communication-Based Approach.,2023,"Yuan-Ai Xie, Jiawen Kang, Dusit Niyato, Nguyen Thi Thanh Van, Nguyen Cong Luong, Zhixin Liu, Han Yu",IEEE Netw. 37: 118-124 ,NETWORK,
31,Air-Ground Collaborative Edge Intelligence for Future Generation Networks.,2023,"Jianhang Tang, Jiangtian Nie, Yang Zhang, Yiqun Duan, Zehui Xiong, Dusit Niyato",IEEE Netw. 37: 118-125 ,NETWORK,
32,"Human Digital Twin for Personalized Healthcare: Vision, Architecture and Future Directions.",2023,"Samuel Dayo Okegbile, Jun Cai, Dusit Niyato, Changyan Yi",IEEE Netw. 37: 262-269 ,NETWORK,
33,Pricing for Reconfigurable Intelligent Surface Aided Wireless Networks: Models and Principles.,2023,"Yulan Gao, Yue Xiao, Xianfu Lei, Qiaonan Zhu, Dusit Niyato, Kai-Kit Wong, Pingzhi Fan, Rose Qingyang Hu",IEEE Netw. 37: 102-110 ,NETWORK,
34,Promoting the Sustainability of Blockchain in Web 3.0 and the Metaverse Through Diversified Incentive Mechanism Design.,2023,"Daniel Mawunyo Doe, Jing Li, Dusit Niyato, Zhen Gao, Jun Li, Zhu Han",IEEE Open J. Comput. Soc. 4: 171-184 ,OJCOMPS,
35,Location-Dependent Augmented Reality Services in Wireless Edge-Enabled Metaverse Systems.,2023,"Hongliang Zhang, Shiwen Mao, Dusit Niyato, Zhu Han",IEEE Open J. Commun. Soc. 4: 171-183 ,OJCS,
36,"Efficient Personal-Health-Records Sharing in Internet of Medical Things Using Searchable Symmetric Encryption, Blockchain, and IPFS.",2023,"Abhishek Bisht, Ashok Kumar Das, Dusit Niyato, Youngho Park",IEEE Open J. Commun. Soc. 4: 2225-2244 ,OJCS,
37,An Introduction to Point Cloud Compression Standards.,2023,"Anthony Chen, Shiwen Mao, Zhu Li, Minrui Xu, Hongliang Zhang, Dusit Niyato, Zhu Han",GetMobile Mob. Comput. Commun. 27: 11-17 ,SIGMOBILE,
38,"Guest Editorial: Introduction to Special Issue on ""Cloud-Edge-End Orchestrated Computing for Smart Grid"".",2023,"Ruilong Deng, Chee-Wooi Ten, Chaojie Li, Dusit Niyato, Fei Teng",IEEE Trans. Cloud Comput. 11: 1107-1110 ,TCC,A
39,HFedMS: Heterogeneous Federated Learning With Memorable Data Semantics in Industrial Metaverse.,2023,"Shenglai Zeng, Zonghang Li, Hongfang Yu, Zhihao Zhang, Long Luo, Bo Li, Dusit Niyato",IEEE Trans. Cloud Comput. 11: 3055-3069 ,TCC,A
40,Outage Probability Minimization in Secure NOMA Cognitive Radio Systems With UAV Relay: A Machine Learning Approach.,2023,"Van Nhan Vo, Le-Mai-Duyen Nguyen, Hung Tran, Viet-Hung Dang, Dusit Niyato, Dang Ngoc Cuong, Nguyen Cong Luong, Chakchai So-In",IEEE Trans. Cogn. Commun. Netw. 9: 435-451 ,TCCN,
41,Trajectory Design and Power Control for Joint Radar and Communication Enabled Multi-UAV Cooperative Detection Systems.,2023,"Tao Zhang, Kun Zhu, Shaoqiu Zheng, Dusit Niyato, Nguyen Cong Luong",IEEE Trans. Commun. 71: 158-172 ,TCOM,
42,Covert Communication Assisted by UAV-IRS.,2023,"Chao Wang, Xinying Chen, Jianping An, Zehui Xiong, Chengwen Xing, Nan Zhao, Dusit Niyato",IEEE Trans. Commun. 71: 357-369 ,TCOM,
43,Content Popularity Prediction Based on Quantized Federated Bayesian Learning in Fog Radio Access Networks.,2023,"Yunwei Tao, Yanxiang Jiang, Fu-Chun Zheng, Zhiheng Wang, Pengcheng Zhu, Meixia Tao, Dusit Niyato, Xiaohu You",IEEE Trans. Commun. 71: 893-907 ,TCOM,
44,Coverage Enhancement in Millimeter-Wave Cellular Networks via Distributed IRSs.,2023,"Xiaoming Shi, Na Deng, Nan Zhao, Dusit Niyato",IEEE Trans. Commun. 71: 1153-1167 ,TCOM,
45,The Meta Distribution of SINR in UAV-Assisted Cellular Networks.,2023,"Minwei Shi, Kai Yang, Dusit Niyato, Hang Yuan, He Zhou, Zhan Xu",IEEE Trans. Commun. 71: 1193-1206 ,TCOM,
46,Joint Power Allocation and Rate Control for Rate Splitting Multiple Access Networks With Covert Communications.,2023,"Nguyen Quang Hieu, Dinh Thai Hoang, Dusit Niyato, Diep N. Nguyen, Dong In Kim, Abbas Jamalipour",IEEE Trans. Commun. 71: 2274-2287 ,TCOM,
47,Generalized Tag-Based Physical-Layer Authentication Under Frequency Selective Fading Channels.,2023,"Hai Jun Tan, Ning Xie, Jian Lu, Dusit Niyato",IEEE Trans. Commun. 71: 2876-2890 ,TCOM,
48,A Game-Based Incentive-Driven Offloading Framework for Dispersed Computing.,2023,"Hongjia Wu, Jiangtian Nie, Zehui Xiong, Zhiping Cai, Tongqing Zhou, Chau Yuen, Dusit Niyato",IEEE Trans. Commun. 71: 4034-4049 ,TCOM,
49,Covert Federated Learning via Intelligent Reflecting Surfaces.,2023,"Jie Zheng, Haijun Zhang, Jiawen Kang, Ling Gao, Jie Ren, Dusit Niyato",IEEE Trans. Commun. 71: 4591-4604 ,TCOM,
50,QoE Analysis and Resource Allocation for Wireless Metaverse Services.,2023,"Yuna Jiang, Jiawen Kang, Xiaohu Ge, Dusit Niyato, Zehui Xiong",IEEE Trans. Commun. 71: 4735-4750 ,TCOM,
51,"Joint User Scheduling, Base Station Clustering, and Beamforming Design Based on Deep Unfolding Technique.",2023,"Chunmei Xu, Yuanqi Jia, Shiwen He, Yongming Huang, Dusit Niyato",IEEE Trans. Commun. 71: 5831-5845 ,TCOM,
52,DRL-Based Adaptive Sharding for Blockchain-Based Federated Learning.,2023,"Yijing Lin, Zhipeng Gao, Hongyang Du, Jiawen Kang, Dusit Niyato, Qian Wang, Jingqing Ruan, Shaohua Wan",IEEE Trans. Commun. 71: 5992-6004 ,TCOM,
53,STAR-RIS-Enabled Secure Dual-Functional Radar-Communications: Joint Waveform and Reflective Beamforming Optimization.,2023,"Chao Wang, Chengcai Wang, Zan Li, Derrick Wing Kwan Ng, Kai-Kit Wong, Naofal Al-Dhahir, Dusit Niyato",IEEE Trans. Inf. Forensics Secur. 18: 4577-4592 ,TIFS,
54,How to Mitigate DDoS Intelligently in SD-IoV: A Moving Target Defense Approach.,2023,"Tao Zhang, Changqiao Xu, Ping Zou, Haijiang Tian, Xiaohui Kuang, Shujie Yang, Lujie Zhong, Dusit Niyato",IEEE Trans. Ind. Informatics 19: 1097-1106 ,TII,
55,World State Attack to Blockchain Based IoV and Efficient Protection With Hybrid RSUs Architecture.,2023,"Zhen Gao, Dongbin Zhang, Jiuzhi Zhang, Lei Liu, Dusit Niyato, Victor C. M. Leung",IEEE Trans. Intell. Transp. Syst. 24: 9952-9965 ,TITS,
56,"Auction-and-Learning Based Lagrange Coded Computing Model for Privacy-Preserving, Secure, and Resilient Mobile Edge Computing.",2023,"Alia Asheralieva, Dusit Niyato, Zehui Xiong",IEEE Trans. Mob. Comput. 22: 744-764 ,TMC,
57,Secure and Efficient Coded Multi-Access Edge Computing With Generalized Graph Neural Networks.,2023,"Alia Asheralieva, Dusit Niyato",IEEE Trans. Mob. Comput. 22: 5504-5524 ,TMC,
58,Guest Editorial The Nexus Between Edge Computing and AI for 6G Networks.,2023,"Zhi Zhou, Dusit Niyato, Zehui Xiong, Xiaowen Gong, Walid Saad, Xiaoming Fu",IEEE Trans. Netw. Sci. Eng. 10: 1186-1189 ,TNSE,
59,Worker Assignment for Multiple Masters to Speed Up Coded Distributed Computing in Heterogeneous Clusters.,2023,"Daejin Kim, Hyegyeong Park, Dusit Niyato, Jun Kyun Choi",IEEE Trans. Serv. Comput. 16: 2283-2298 ,TSC,
60,CompCube: A Space-Time-Request Resource Trading Framework for Edge-Cloud Service Market.,2023,"Xiaoxu Ren, Chao Qiu, Zheyuan Chen, Xiaofei Wang, Dusit Niyato, Wenyu Wang",IEEE Trans. Serv. Comput. 16: 3252-3264 ,TSC,
61,Hierarchical Multi-Agent Deep Reinforcement Learning for Energy-Efficient Hybrid Computation Offloading.,2023,"Hang Zhou, Yusi Long, Shimin Gong, Kun Zhu, Dinh Thai Hoang, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 986-1001 ,TVT,
62,Reliable Distributed Computing for Metaverse: A Hierarchical Game-Theoretic Approach.,2023,"Yuna Jiang, Jiawen Kang, Dusit Niyato, Xiaohu Ge, Zehui Xiong, Chunyan Miao, Xuemin Shen",IEEE Trans. Veh. Technol. 72: 1084-1100 ,TVT,
63,Load Distribution in Poisson Networks With Spatially Coupled Users.,2023,"Minwei Shi, Jianguo Li, Xiaozheng Gao, Kai Yang, Dusit Niyato, Zhu Han",IEEE Trans. Veh. Technol. 72: 1331-1336 ,TVT,
64,RIS-Aided 6G Communication System With Accurate Traceable User Mobility.,2023,"Peng Zhang, Jiayi Zhang, Huahua Xiao, Hongyang Du, Dusit Niyato, Bo Ai",IEEE Trans. Veh. Technol. 72: 2718-2722 ,TVT,
65,Distributed Mechanism Design in Continuous Space for Federated Learning Over Vehicular Networks.,2023,"Mina Montazeri, Hamed Kebriaei, Babak Nadjar Araabi, Jiawen Kang, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 4196-4206 ,TVT,
66,Two-Hop Connectivity to the Roadside in a VANET Under the Random Connection Model.,2023,"Alexander P. Kartun-Giles, Konstantinos Koufos, Xiao Lu, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 5508-5512 ,TVT,
67,Efficient Consensus and Elastic Resource Allocation Empowered Blockchain for Vehicular Networks.,2023,"Yijing Lin, Jiawen Kang, Dusit Niyato, Zhipeng Gao, Qian Wang",IEEE Trans. Veh. Technol. 72: 5513-5517 ,TVT,
68,Evolutionary Carrier Selection for Shared Truck Delivery Services.,2023,"Rakpong Kaewpuang, Suttinee Sawadsitang, Dusit Niyato, Han Yu",IEEE Trans. Veh. Technol. 72: 6778-6782 ,TVT,
69,Spatio-Temporal Analysis of D2D Networks in Finite Areas.,2023,"Minwei Shi, Mei Yang, Hang Yuan, Xiaozheng Gao, Kai Yang, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 8239-8243 ,TVT,
70,Semantic Communication-Based Dynamic Resource Allocation in D2D Vehicular Networks.,2023,"Jiawei Su, Zhixin Liu, Yuanai Xie, Kai Ma, Hongyang Du, Jiawen Kang, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 10784-10796 ,TVT,
71,Bayesian Optimization Enhanced Deep Reinforcement Learning for Trajectory Planning and Network Formation in Multi-UAV Networks.,2023,"Shimin Gong, Meng Wang, Bo Gu, Wenjie Zhang, Dinh Thai Hoang, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 10933-10948 ,TVT,
72,Jamming-Based Covert Communication for Rate-Splitting Multiple Access.,2023,"Trung Thanh Nguyen, Nguyen Cong Luong, Shaohan Feng, Khaled M. Elbassioni, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 11074-11079 ,TVT,
73,Digital Twin-Assisted Edge Computation Offloading in Industrial Internet of Things With NOMA.,2023,"Long Zhang, Han Wang, Hongmei Xue, Hongliang Zhang, Qilie Liu, Dusit Niyato, Zhu Han",IEEE Trans. Veh. Technol. 72: 11935-11950 ,TVT,
74,Deep Reinforcement Learning for Secrecy Energy Efficiency Maximization in RIS-Assisted Networks.,2023,"Yichi Zhang, Yang Lu, Ruichen Zhang, Bo Ai, Dusit Niyato",IEEE Trans. Veh. Technol. 72: 12413-12418 ,TVT,
75,Relay-Assisted Partial Interference Elimination Schemes for K-User Delay-Sensitive Networks.,2023,"Jingfu Li, Zehui Xiong, Dusit Niyato, Weifeng Su, Wenjiang Feng, Weiheng Jiang",IEEE Trans. Wirel. Commun. 22: 1633-1647 ,TWC,
76,Elastic Resource Allocation for Coded Distributed Computing Over Heterogeneous Wireless Edge Networks.,2023,"Cong Thanh Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Khoa Tran Phan, Dusit Niyato, Hoang-Anh Pham, Eryk Dutkiewicz",IEEE Trans. Wirel. Commun. 22: 2636-2649 ,TWC,
77,Ensemble Distillation Based Adaptive Quantization for Supporting Federated Learning in Wireless Networks.,2023,"Yijing Liu, Gang Feng, Dusit Niyato, Shuang Qin, Jianhong Zhou, Xiaoqian Li, Xinyi Xu",IEEE Trans. Wirel. Commun. 22: 4013-4027 ,TWC,
78,Semantic-Aware Sensing Information Transmission for Metaverse: A Contest Theoretic Approach.,2023,"Jiacheng Wang, Hongyang Du, Zengshan Tian, Dusit Niyato, Jiawen Kang, Xuemin Shen",IEEE Trans. Wirel. Commun. 22: 5214-5228 ,TWC,
79,Covert Ambient Backscatter Communications With Multi-Antenna Tag.,2023,"Jiahao Liu, Jihong Yu, Dusit Niyato, Rongrong Zhang, Xiaozheng Gao, Jianping An",IEEE Trans. Wirel. Commun. 22: 6199-6212 ,TWC,
80,Snowball: Energy Efficient and Accurate Federated Learning With Coarse-to-Fine Compression Over Heterogeneous Wireless Edge Devices.,2023,"Peichun Li, Guoliang Cheng, Xumin Huang, Jiawen Kang, Rong Yu, Yuan Wu, Miao Pan, Dusit Niyato",IEEE Trans. Wirel. Commun. 22: 6778-6792 ,TWC,
81,"Mobile Charging Services for the Internet of Electric Vehicles: Concepts, Scenarios, and Challenges.",2023,"Ran Wang, Hui Wang, Kun Zhu, Changyan Yi, Ping Wang, Dusit Niyato",IEEE Veh. Technol. Mag. 18: 110-119 ,VTM,
82,Secure Beamforming for IRS-Enhanced NOMA Networks.,2023,"Wei Wang, Yang Cao, Min Sheng, Jie Tang, Nan Zhao, Dusit Niyato, Kai-Kit Wong",IEEE Wirel. Commun. 30: 134-140 ,WC,
83,Rethinking Wireless Communication Security in Semantic Internet of Things.,2023,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Mohsen Guizani, Dong In Kim",IEEE Wirel. Commun. 30: 36-43 ,WC,
84,Realizing the Metaverse with Edge Intelligence: A Match Made in Heaven.,2023,"Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xianbin Cao, Chunyan Miao, Sumei Sun, Qiang Yang",IEEE Wirel. Commun. 30: 64-71 ,WC,
85,GoMORE: Global Model Reuse for Resource-Constrained Wireless Federated Learning.,2023,"Jiacheng Yao, Zhaohui Yang, Wei Xu, Mingzhe Chen, Dusit Niyato",IEEE Wirel. Commun. Lett. 12: 1543-1547 ,WCL,
86,UAV-Mounted Multi-Functional RIS for Combating Eavesdropping in Wireless Networks.,2023,"Wen Wang, Wanli Ni, Hui Tian, Yonina C. Eldar, Dusit Niyato",IEEE Wirel. Commun. Lett. 12: 1667-1671 ,WCL,
87,Optimal Auction for Effective Energy Management for UAV-assisted Metaverse Synchronization System.,2023,"Nguyen Cong Luong, Le Khac Chau, Nguyen Do Duy Anh, Nguyen Huu Sang, Shaohan Feng, Van-Dinh Nguyen, Dusit Niyato, Dong In Kim",CCNC 2023: 392-397,CCNC,
88,Economics of Semantic Communication in Metaverse: An Auction Approach.,2023,"Zi Qin Liew, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Han Yu",CCNC 2023: 398-403,CCNC,
89,Blockchain Technology for Participatory Publication of Archival Documents. Marco Polo's Diplomatic Codex as a Showcase.,2023,"Andrea Nanetti, Paola Benussi, Andrea Erboso, Dusit Niyato",HCI  2023: 548-558,HCI,National
90,Freshness-aware Incentive Mechanism for Mobile AI-Generated Content (AIGC) Networks.,2023,"Jinbo Wen, Jiawen Kang, Minrui Xu, Hongyang Du, Zehui Xiong, Yang Zhang, Dusit Niyato",ICCC 2023: 1-6,ICCCHINA,
91,Adaptive Resource Allocation in Quantum Key Distribution (QKD) for Federated Learning.,2023,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong, Xuemin Sherman Shen",ICNC 2023: 71-76,ICCNC,
92,Differentiated Security in the Age of Cognitive Internet of Things (CIoT).,2023,"Jiani Fan, Kwok-Yan Lam, Dusit Niyato",ICDCS 2023: 965-966,ICDCS,A
93,Blockchain-Aided AI-Generated Content Services: Stackelberg Game-Based Content Caching Approach.,2023,"Yijing Lin, Zhipeng Gao, Hongyang Du, Dusit Niyato",ICWS 2023: 186-195,ICWS,A
94,Reputation-Aware Opportunistic Budget Optimization for Auction-based Federation Learning.,2023,"Xavier Tan, Wei Yang Bryan Lim, Dusit Niyato, Han Yu",IJCNN 2023: 1-8,IJCNN,B
95,Game Theoretic Resource Planning and Request Scheduling in Mobile Edge Computing Networks.,2023,"Bin Xiang, Jocelyne Elias, Fabio Martignon, Elisabetta Di Nitto, Dusit Niyato",IFIP Networking 2023: 1-9,NETWORKING,
96,Stochastic Qubit Resource Allocation for Quantum Cloud Computing.,2023,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong, Jiawen Kang",NOMS 2023: 1-5,NOMS,B
97,Dynamic Resource Allocation for Metaverse Applications with Deep Reinforcement Learning.,2023,"Nam Hoai Chu, Diep N. Nguyen, Dinh Thai Hoang, Khoa T. Phan, Eryk Dutkiewicz, Dusit Niyato, Tao Shu",WCNC 2023: 1-6,WCNC,B
98,Lightweight Wireless Sensing Through RIS and Inverse Semantic Communications.,2023,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Junshan Zhang, Xuemin Sherman Shen",WCNC 2023: 1-6,WCNC,B
99,Optimization of Image Transmission in a Cooperative Semantic Communication Networks.,2023,"Wenjing Zhang, Yining Wang, Mingzhe Chen, Tao Luo, Dusit Niyato",CoRR abs/2301.00433 ,CORR,
100,Enabling AI-Generated Content (AIGC) Services in Wireless Edge Networks.,2023,"Hongyang Du, Zonghang Li, Dusit Niyato, Jiawen Kang, Zehui Xiong, Xuemin Shen, Dong In Kim",CoRR abs/2301.03220 ,CORR,
101,Evolutionary Carrier Selection for Shared Truck Delivery Services.,2023,"Rakpong Kaewpuang, Suttinee Sawadsitang, Dusit Niyato, Han Yu",CoRR abs/2301.03635 ,CORR,
102,Generative AI-empowered Effective Physical-Virtual Synchronization in the Vehicular Metaverse.,2023,"Minrui Xu, Dusit Niyato, Hongliang Zhang, Jiawen Kang, Zehui Xiong, Shiwen Mao, Zhu Han",CoRR abs/2301.07636 ,CORR,
103,Blockchain-aided Secure Semantic Communication for AI-Generated Content in Metaverse.,2023,"Yijing Lin, Hongyang Du, Dusit Niyato, Jiangtian Nie, Jiayi Zhang, Yanyu Cheng, Zhaohui Yang",CoRR abs/2301.11289 ,CORR,
104,"Metaverse for Wireless Systems: Architecture, Advances, Standardization, and Open Challenges.",2023,"Latif U. Khan, Mohsen Guizani, Dusit Niyato, Ala I. Al-Fuqaha, Mérouane Debbah",CoRR abs/2301.11441 ,CORR,
105,The Meta Distribution of SINR in UAV-Assisted Cellular Networks.,2023,"Minwei Shi, Kai Yang, Dusit Niyato, Hang Yuan, He Zhou, Zhan Xu",CoRR abs/2301.12678 ,CORR,
106,Distributed Traffic Synthesis and Classification in Edge Networks: A Federated Self-supervised Learning Approach.,2023,"Yong Xiao, Rong Xia, Yingyu Li, Guangming Shi, Diep N. Nguyen, Dinh Thai Hoang, Dusit Niyato, Marwan Krunz",CoRR abs/2302.00207 ,CORR,
107,Covert D2D Communication Underlaying Cellular Network: A System-Level Security Perspective.,2023,"Shaohan Feng, Xiao Lu, Kun Zhu, Dusit Niyato, Ping Wang",CoRR abs/2302.01745 ,CORR,
108,"Mobile Cell-Free Massive MIMO: Challenges, Solutions, and Future Directions.",2023,"Jiakang Zheng, Jiayi Zhang, Hongyang Du, Dusit Niyato, Bo Ai, Mérouane Debbah, Khaled B. Letaief",CoRR abs/2302.02566 ,CORR,
109,Achieving Covert Communication in Large-Scale SWIPT-Enabled D2D Networks.,2023,"Shaohan Feng, Xiao Lu, Dusit Niyato, Ekram Hossain, Sumei Sun",CoRR abs/2302.08010 ,CORR,
